Designator,Footprint,Quantity,Manufacturer_Part_Number

"A0, C44, C49, J1, J2, J3","NFCANT, CAPC17595_87N_KEM, 009159010061911, TWO_PIN","6",""
"C0, C15","WCAP-ASLI_D4H5.5","2","865080340001"
"C1, C2, C6, C7, C8, C9, C13, C14, C21, C22, C23, C27, C29, C30, C32, C33, C34, C35, C36_M1, C36_M2, C36_M3, C36_M4, C36_M5, C36_M6, C36_M7, C36_M8, C36_M9, C36_M10, C36_M11, C36_M12, C37_M1, C37_M2, C37_M3, C37_M4, C37_M5, C37_M6, C37_M7, C37_M8, C37_M9, C37_M10, C37_M11, C37_M12, C38, C39, C40","CAP_CC0201_YAG","45","CC0201KRX5R7BB104"
"C3, C10, C28, C48","CAP_CC0201_YAG","4","CC0201MRX5R5BB105"
"C4, C11","CAP_CC0201_YAG","2","CC0201KRX5R7BB223"
"C5, C12","CAP_CC0201_YAG","2","CC0201MRX5R5BB225"
"C16, C20","CAPC17595_87N_KEM","2","C0603C911F5GACTU"
"C17, C19","CAPC1608X95N","2","C0603X132F4HACTU"
"C18","CAPC17595_87N_KEM","1","CC0603JRNPO9BN501"
"C24, C25","CAPC0603X33N","2","CBR02C709B5GAC"
"C26","CAPC17595_87N_KEM","1","C0603C475K8PACTU"
"C31, C41, C42","CAPC17595_87N_KEM","3","CC0603KRX5R5BB106"
"C43, C45","CAPC17595_87N_KEM","2","CC0603KRX7R9BB104"
"C46, C47","CAPC2012X145N","2","CC0805KKX5R8BB106"
"J0","CON_522711279_MOL","1","522711279"
"L1","MPL-AT2512-XXX","1","MPL-AT2512-3R3"
"R1, R2","RC0603N_PAN","2","ERA-3AEB153V"
"R3, R4","RC0603N_PAN","2","RT0603DRE071R1L"
"R5, R8","RC0603N_YAG","2","RT0603BRD07330KL"
"R6, R7","RC0603N_YAG","2","RT0603BRE07673KL"
"R9, R10","RC0603N_PAN","2","RC0201FR-1310KL"
"R11","RC0603N_PAN","1","RT0603BRD07976KL"
"R12","RC0603N_PAN","1","RT0603BRD07220KL"
"U0","QFP50P1600X1600X160-100N","1","STM32U5F7VJT6"
"U1, U2","QFN50P500X500X80-33N","2","MAX22200AETJ+"
"U3","NTA53321G0FHKZ","1","NTA53321G0FHKZ"
"U4, U5, U6","RGY14_2P05X2P05","3","SN74LVC32ARGYR"
"U7_M1, U7_M2, U7_M3, U7_M4, U7_M5, U7_M6, U7_M7, U7_M8, U7_M9, U7_M10, U7_M11, U7_M12","SON50P300X300X80-11N-D","12","A31301EEJASR-XYZ-IC-06"
"U8","QFN-8_1p5MMx2MM_MNP","1","MP2322GQH-P"
"X1","ECS-480-7-33B2-CKM-TR3","1","ECS-480-7-33B2-CKM-TR3"
