Altium Designer Pick and Place Locations
C:\Users\Ben\Desktop\abacus_pcb\abacus_main\Project Outputs for abacus_main\manufacturing\Pick Place\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       11/11/25
Time:       12:33
Revision:   26fef9e1cf3dc1171b7b9eda3dc3d36e36ba4503
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer_Part_Number"
"C49","TopLayer","130.4000","80.7000","90","C0603C220J1GACTU"
"U8","TopLayer","133.9000","85.1000","270","MP2322GQH-P"
"R12","TopLayer","131.8000","83.4000","90","RT0603BRD07220KL"
"R11","TopLayer","131.8000","80.7000","90","RT0603BRD07976KL"
"L1","TopLayer","136.7000","80.9000","180","MPL-AT2512-3R3"
"C48","TopLayer","132.0000","85.4000","90","CC0201MRX5R5BB105"
"C47","TopLayer","134.8000","91.3000","180","CC0805KKX5R8BB106"
"C46","TopLayer","134.8000","89.2000","180","CC0805KKX5R8BB106"
"C45","TopLayer","134.8000","87.5000","180","CC0603KRX7R9BB104"
"C44","TopLayer","139.2000","78.0000","270","C0603C220J1GACTU"
"C43","TopLayer","135.1000","82.9000","180","CC0603KRX7R9BB104"
"C42","TopLayer","138.8000","84.8000","270","CC0603KRX5R5BB106"
"C41","TopLayer","137.5000","84.8000","270","CC0603KRX5R5BB106"
"C40","TopLayer","69.5000","75.7000","225","CC0201KRX5R7BB104"
"U7_M12","TopLayer","121.6040","59.7680","90","A31301EEJASR-XYZ-IC-06"
"U7_M11","TopLayer","121.6040","91.2680","90","A31301EEJASR-XYZ-IC-06"
"U7_M10","TopLayer","109.6040","59.7680","90","A31301EEJASR-XYZ-IC-06"
"U7_M9","TopLayer","109.6040","91.2680","90","A31301EEJASR-XYZ-IC-06"
"U7_M8","TopLayer","97.6040","59.7680","90","A31301EEJASR-XYZ-IC-06"
"U7_M7","TopLayer","97.6040","91.2680","90","A31301EEJASR-XYZ-IC-06"
"U7_M6","TopLayer","85.5960","59.8170","90","A31301EEJASR-XYZ-IC-06"
"U7_M5","TopLayer","85.5960","91.2170","90","A31301EEJASR-XYZ-IC-06"
"U7_M4","TopLayer","73.5960","59.8170","90","A31301EEJASR-XYZ-IC-06"
"U7_M3","TopLayer","73.5960","91.3170","90","A31301EEJASR-XYZ-IC-06"
"U7_M2","TopLayer","61.5900","59.8230","90","A31301EEJASR-XYZ-IC-06"
"U7_M1","TopLayer","61.5950","91.3170","90","A31301EEJASR-XYZ-IC-06"
"U6","TopLayer","72.5000","77.6432","135","SN74LVC32ARGYR"
"U5","TopLayer","109.3000","82.3000","135","SN74LVC32ARGYR"
"U4","TopLayer","113.1568","76.2000","135","SN74LVC32ARGYR"
"U2","TopLayer","103.5000","97.4000","45","MAX22200AETJ+"
"U1","TopLayer","90.5000","97.4000","45","MAX22200AETJ+"
"U0","TopLayer","91.6000","75.7000","225","STM32U5F7VJT6"
"R10","TopLayer","66.2000","64.0000","180","RC0201FR-1310KL"
"R9","TopLayer","66.2000","65.8000","0","RC0201FR-1310KL"
"R8","TopLayer","90.0000","57.0000","90","RT0603BRD07330KL"
"R7","TopLayer","115.1000","90.3000","90","RT0603BRE07673KL"
"R6","TopLayer","91.3000","55.4000","90","RT0603BRE07673KL"
"R5","TopLayer","116.4000","88.8000","90","RT0603BRD07330KL"
"R2","TopLayer","109.6000","98.1000","0","ERA-3AEB153V"
"R1","TopLayer","95.9000","97.6000","270","ERA-3AEB153V"
"J1","TopLayer","151.3000","62.3000","270",""
"J0","TopLayer","91.7795","108.0835","0","522711279"
"C39","TopLayer","106.3000","80.5000","225","CC0201KRX5R7BB104"
"C38","TopLayer","110.1245","74.2245","225","CC0201KRX5R7BB104"
"C37_M12","TopLayer","121.1080","62.6510","270","CC0201KRX5R7BB104"
"C37_M11","TopLayer","121.1080","94.1510","270","CC0201KRX5R7BB104"
"C37_M10","TopLayer","109.1080","62.6510","270","CC0201KRX5R7BB104"
"C37_M9","TopLayer","109.1080","94.1510","270","CC0201KRX5R7BB104"
"C37_M8","TopLayer","97.1080","62.6510","270","CC0201KRX5R7BB104"
"C37_M7","TopLayer","97.1080","94.1510","270","CC0201KRX5R7BB104"
"C37_M6","TopLayer","85.1000","62.7000","270","CC0201KRX5R7BB104"
"C37_M5","TopLayer","85.1000","94.1000","270","CC0201KRX5R7BB104"
"C37_M4","TopLayer","73.1000","62.7000","270","CC0201KRX5R7BB104"
"C37_M3","TopLayer","73.0880","94.1510","270","CC0201KRX5R7BB104"
"C37_M2","TopLayer","61.0940","62.7060","270","CC0201KRX5R7BB104"
"C37_M1","TopLayer","61.1759","94.2399","270","CC0201KRX5R7BB104"
"C36_M12","TopLayer","120.0080","57.0510","45","CC0201KRX5R7BB104"
"C36_M11","TopLayer","120.0080","88.5510","45","CC0201KRX5R7BB104"
"C36_M10","TopLayer","108.0080","57.0510","45","CC0201KRX5R7BB104"
"C36_M9","TopLayer","108.0080","88.5510","45","CC0201KRX5R7BB104"
"C36_M8","TopLayer","96.0080","57.0510","45","CC0201KRX5R7BB104"
"C36_M7","TopLayer","96.0080","88.5510","45","CC0201KRX5R7BB104"
"C36_M6","TopLayer","84.0000","57.1000","45","CC0201KRX5R7BB104"
"C36_M5","TopLayer","84.0000","88.5000","45","CC0201KRX5R7BB104"
